measure_id,measure_name,location_id,location_name,sex_id,sex,age_group_id,age_group_name,year_id,metric,val,lower,upper
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,1990,Years,74.8945673734545,72.8483937183564,77.0316463868461
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,1991,Years,74.9613702562709,72.9122699668176,77.2268758534646
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,1992,Years,75.0542133884799,73.1829642596126,76.9934751890045
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,1993,Years,74.2404709413765,72.2200280542865,76.2753958411466
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,1994,Years,74.7430750193346,72.9252751845205,76.6543463837017
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,1995,Years,74.6256184647038,72.875206493433,76.4874217987418
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,1996,Years,74.525456815796,72.7696992143435,76.3280964098032
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,1997,Years,75.7150953529692,74.0852413123491,77.4719595158136
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,1998,Years,75.4102812843313,73.8168524132391,77.1348831625243
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,1999,Years,75.289234211762,73.7313788843485,76.8677286842738
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2000,Years,75.6743365494749,74.1441947037786,77.2630026202623
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2001,Years,75.6213256076294,73.9044316558716,77.2042076304348
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2002,Years,75.8876573967634,74.2716697172445,77.5370402295406
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2003,Years,75.8083106901566,74.1592465546648,77.3584275361967
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2004,Years,75.9050010866978,74.3554978465299,77.4911812365075
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2005,Years,75.8789253438281,74.3455864121756,77.5315691407565
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2006,Years,75.3738444868112,73.6825059414267,77.0813804693777
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2007,Years,75.6796949900217,73.9097110250279,77.4589748084912
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2008,Years,75.7197596812702,74.089502260226,77.4006441720948
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2009,Years,76.2464716073795,74.5213898919656,77.9658172631106
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2010,Years,75.7835141931468,74.1259716087907,77.592399646194
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2011,Years,75.9985190905824,74.247179704913,77.7967423056782
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2012,Years,75.7837486423915,73.9797654750998,77.7135269003286
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2013,Years,75.8574303304392,74.0684175278273,77.7155446336075
26,Life expectancy,43944,King County Census Tract 1,1,Male,161,0,2014,Years,75.7917933810014,73.8738601271703,77.7050820841722
